date,high,avg,low,,,,,,,,,,,,
9/1/2022,80.4 °F,65.8 °F,52.0 °F,,,,,,,,,,,,
9/2/2022,85.8 °F,64.6 °F,48.4 °F,,,,,,,,,,,,
9/3/2022,88.9 °F,70.5 °F,52.3 °F,,,,,,,,,,,,
9/4/2022,91.4 °F,76.6 °F,56.1 °F,,,,,,,,,,,,
9/5/2022,98.1 °F,70.4 °F,62.8 °F,,,,,,,,,,,,
9/6/2022,100.8 °F,66.6 °F,62.4 °F,,,,,,,,,,,,
9/7/2022,89.6 °F,68.0 °F,58.8 °F,,,,,,,,,,,,
9/8/2022,97.3 °F,73.7 °F,59.4 °F,,,,,,,,,,,,
9/9/2022,88.7 °F,70.5 °F,52.7 °F,,,,,,,,,,,,
9/10/2022,91.9 °F,73.2 °F,58.3 °F,,,,,,,,,,,,
9/11/2022,78.4 °F,70.7 °F,62.8 °F,,,,,,,,,,,,
9/1/2021,67.8 °F,61.6 °F,56.1 °F,,,,,,,,,,,,
9/2/2021,76.8 °F,62.4 °F,52.3 °F,,,,,,,,,,,,
9/3/2021,75.4 °F,62.3 °F,49.8 °F,,,,,,,,,,,,
9/4/2021,81.1 °F,65.7 °F,50.9 °F,,,,,,,,,,,,
9/5/2021,79.3 °F,63.8 °F,51.4 °F,,,,,,,,,,,,
9/6/2021,85.6 °F,70.3 °F,53.1 °F,,,,,,,,,,,,
9/7/2021,81.9 °F,71.1 °F,56.7 °F,,,,,,,,,,,,
9/8/2021,84.6 °F,72.8 °F,55.8 °F,,,,,,,,,,,,
9/9/2021,72.0 °F,65.3 °F,57.4 °F,,,,,,,,,,,,
9/10/2021,75.6 °F,64.9 °F,49.6 °F,,,,,,,,,,,,
9/11/2021,78.6 °F,64.0 °F,47.1 °F,,,,,,,,,,,,
9/1/2020,81.3 °F,68.9 °F,53.8 °F,,,,,,,,,,,,
9/2/2020,70.2 °F,65.9 °F,61.0 °F,,,,,,,,,,,,
9/3/2020,86.0 °F,73.6 °F,62.2 °F,,,,,,,,,,,,
9/4/2020,82.8 °F,70.4 °F,52.7 °F,,,,,,,,,,,,
9/5/2020,80.6 °F,65.9 °F,49.1 °F,,,,,,,,,,,,
9/6/2020,82.2 °F,71.6 °F,58.5 °F,,,,,,,,,,,,
9/7/2020,82.9 °F,71.0 °F,58.6 °F,,,,,,,,,,,,
9/8/2020,86.5 °F,73.4 °F,62.8 °F,,,,,,,,,,,,
9/9/2020,81.9 °F,71.1 °F,62.6 °F,,,,,,,,,,,,
9/10/2020,78.6 °F,71.8 °F,64.9 °F,,,,,,,,,,,,
9/11/2020,76.3 °F,65.7 °F,48.9 °F,,,,,,,,,,,,
9/1/2019,79.2 °F,67.1 °F,52.5 °F,,,,,,,,,,,,
9/2/2019,69.8 °F,64.0 °F,59.9 °F,,,,,,,,,,,,
9/3/2019,81.5 °F,67.4 °F,56.3 °F,,,,,,,,,,,,
9/4/2019,77.9 °F,66.6 °F,56.5 °F,,,,,,,,,,,,
9/5/2019,73.8 °F,64.2 °F,50.5 °F,,,,,,,,,,,,
9/6/2019,68.5 °F,60.4 °F,50.0 °F,,,,,,,,,,,,
9/7/2019,74.8 °F,63.2 °F,51.6 °F,,,,,,,,,,,,
9/8/2019,74.5 °F,64.7 °F,50.4 °F,,,,,,,,,,,,
9/9/2019,74.5 °F,62.9 °F,47.1 °F,,,,,,,,,,,,
9/10/2019,71.4 °F,64.5 °F,54.0 °F,,,,,,,,,,,,
9/11/2019,86.7 °F,74.1 °F,55.8 °F,,,,,,,,,,,,
9/1/2018,75.0 °F,65.4 °F,54.9 °F,,,,,,,,,,,,
9/2/2018,84.6 °F,70.3 °F,54.9 °F,,,,,,,,,,,,
9/3/2018,95.4 °F,76.2 °F,56.1 °F,,,,,,,,,,,,
9/4/2018,91.9 °F,76.1 °F,56.3 °F,,,,,,,,,,,,
9/5/2018,92.8 °F,74.4 °F,56.5 °F,,,,,,,,,,,,
9/6/2018,74.1 °F,60.3 °F,54.9 °F,,,,,,,,,,,,
9/7/2018,75.0 °F,60.8 °F,54.1 °F,,,,,,,,,,,,
9/8/2018,75.9 °F,62.2 °F,55.9 °F,,,,,,,,,,,,
9/9/2018,75.7 °F,62.7 °F,55.0 °F,,,,,,,,,,,,
9/10/2018,77.2 °F,63.4 °F,54.9 °F,,,,,,,,,,,,
9/11/2018,70.0 °F,61.1 °F,54.7 °F,,,,,,,,,,,,
9/2/2017,100.0 °F,89.3 °F,81.0 °F,,,,,,,,,,,,
9/3/2017,88.5 °F,77.0 °F,67.1 °F,,,,,,,,,,,,
9/4/2017,79.0 °F,71.9 °F,66.0 °F,,,,,,,,,,,,
9/5/2017,80.1 °F,71.0 °F,65.8 °F,,,,,,,,,,,,
9/6/2017,72.9 °F,65.8 °F,61.5 °F,,,,,,,,,,,,
9/7/2017,71.6 °F,66.1 °F,61.3 °F,,,,,,,,,,,,
9/8/2017,68.4 °F,62.1 °F,59.0 °F,,,,,,,,,,,,
9/9/2017,76.1 °F,64.7 °F,59.9 °F,,,,,,,,,,,,
9/10/2017,92.3 °F,73.7 °F,58.5 °F,,,,,,,,,,,,
9/11/2017,89.8 °F,72.9 °F,65.8 °F,,,,,,,,,,,,