year,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dec
1921,61,69,73,86,71,90,94,77,93,85,79,66
1922,61,63,69,75,87,84,74,81,91,81,65,61
1923,58,73,84,79,81,69,82,83,87,86,78,65
1924,65,73,72,86,88,87,70,71,88,83,73,62
1925,66,72,79,77,83,95,79,84,81,85,66,70
1926,63,75,83,89,82,86,86,87,88,83,79,68
1927,61,63,76,82,88,93,72,81,76,86,77,72
1928,63,67,77,80,77,85,75,72,99,87,70,63
1929,59,72,81,71,81,95,85,77,79,90,82,74
1930,67,78,82,76,77,79,84,77,75,92,79,63
1931,68,69,76,84,90,84,99,89,86,83,80,60
1932,68,75,77,79,84,82,74,86,100,80,82,65
1933,65,65,73,82,85,73,82,82,82,92,80,64
1934,72,67,81,77,87,95,77,88,92,87,75,69
1935,65,70,76,81,85,89,82,85,89,80,71,63
1936,66,71,77,83,85,78,73,78,91,86,78,67
1937,55,65,77,73,77,87,77,79,89,87,74,69
1938,66,71,70,75,77,72,74,78,89,81,73,67
1939,66,75,79,83,73,74,80,81,97,90,78,69
1940,67,66,72,80,76,72,79,81,83,84,73,71
1941,67,64,75,70,89,77,71,80,87,87,78,68
1942,62,69,73,74,88,88,70,67,93,82,75,68
1943,65,73,70,72,91,90,74,87,96,81,75,68
1944,69,65,73,62,76,72,67,83,91,82,66,68
1945,63,66,72,77,65,87,75,77,85,83,82,68
1946,62,64,73,82,79,83,77,83,91,86,68,64
1947,62,75,76,86,86,87,73,83,92,83,69,69
1948,75,70,71,70,70,80,83,74,83,84,73,63
1949,60,61,65,75,85,92,72,71,89,84,80,68
1950,65,67,78,82,87,76,75,87,90,85,82,69
1951,63,68,77,68,87,79,75,76,89,86,77,64
1952,64,70,83,78,88,76,82,80,90,89,78,63
1953,69,71,79,70,83,86,75,75,89,87,70,71
1954,62,74,73,80,80,89,84,73,93,87,72,63
1955,63,67,75,65,82,85,70,75,88,82,84,63
1956,59,68,73,76,91,85,70,75,87,77,78,70
1957,61,69,70,85,78,86,76,79,88,75,71,63
1958,66,70,66,79,87,75,68,82,92,86,78,76
1959,65,69,77,81,80,78,92,85,79,88,80,71
1960,63,65,77,80,72,79,75,72,89,86,73,65
1961,64,69,70,79,67,85,82,77,92,94,77,63
1962,79,64,67,82,77,88,67,86,77,79,81,65
1963,66,72,68,67,77,71,88,79,88,78,69,61
1964,66,75,75,82,66,81,81,80,92,86,74,65
1965,62,73,75,85,74,74,69,81,84,90,72,62
1966,68,63,75,84,76,91,79,77,95,85,86,63
1967,67,66,65,59,84,68,78,72,87,86,83,74
1968,74,73,77,78,72,77,79,96,89,82,72,60
1969,61,64,78,73,80,77,74,74,82,79,78,66
1970,64,70,79,74,91,77,92,85,92,86,70,61
1971,68,73,72,75,68,80,72,81,101,89,72,60
1972,61,67,80,75,82,82,92,71,83,87,69,65
1973,62,68,65,77,83,93,82,74,90,80,67,62
1974,69,64,72,77,83,80,78,78,86,89,72,65
1975,68,68,68,67,93,70,81,79,89,82,76,70
1976,73,71,76,69,80,95,71,79,93,91,79,69
1977,66,77,72,74,73,76,85,83,77,80,73,64
1978,64,70,77,78,91,72,74,81,92,92,78,64
1979,60,65,76,72,81,87,82,76,98,80,70,73
1980,66,69,70,80,68,86,75,76,91,97,77,71
1981,66,74,68,89,79,88,83,79,78,80,77,62
1982,62,72,67,78,79,72,74,87,81,83,70,65
1983,66,68,69,72,89,88,92,85,98,85,71,62
1984,72,71,77,87,93,82,92,92,100,82,72,66
1985,65,80,76,88,80,88,90,84,84,97,80,66
1986,70,81,81,84,82,91,85,75,80,86,83,67
1987,68,73,81,90,93,92,83,88,86,102,73,67
1988,71,78,81,91,92,86,89,93,93,93,75,73
1989,70,72,73,94,80,97,88,84,79,88,77,69
1990,66,74,72,84,84,92,84,85,91,89,80,68
1991,73,78,72,83,79,82,92,90,94,96,83,67
1992,66,80,73,83,86,74,86,86,94,94,79,67
1993,69,68,78,78,91,95,83,95,91,90,81,69
1994,72,73,81,79,80,88,80,86,92,86,62,60
1995,69,76,76,84,76,97,91,91,92,90,80,66
1996,72,80,83,93,88,93,91,86,87,99,76,69
1997,67,74,81,79,84,78,79,83,97,88,81,66
1998,65,62,72,84,70,76,84,86,80,83,65,71
1999,65,63,65,83,69,77,79,79,92,87,80,73
2000,62,66,82,83,90,103,71,80,92,78,74,65
2001,68,73,77,70,93,84,88,78,96,93,78,64
2002,63,78,71,77,70,83,80,86,90,91,75,68
2003,69,68,80,68,87,96,77,89,97,94,72,65
2004,66,67,84,91,80,72,73,90,96,93,71,69
2005,66,73,87,74,71,74,82,81,82,82,79,68
2006,68,74,62,72,86,84,87,71,86,82,73,66
2007,65,75,82,78,88,85,76,80,87,82,77,64
2008,63,70,69,85,97,97,79,83,93,85,80,64
2009,74,67,72,93,89,79,83,96,88,77,79,63
2010,61,68,80,75,71,87,72,98,93,89,80,63
2011,68,77,82,81,82,88,81,75,88,85,74,73
2012,66,72,70,79,79,86,74,77,84,94,78,66
2013,64,71,73,82,88,77,79,77,83,83,72,67
2014,72,69,76,90,90,78,85,71,80,92,76,68
2015,74,75,84,84,68,78,86,90,95,87,70,64
2016,64,77,75,87,82,79,76,70,92,87,74,64
2017,63,67,76,75,83,88,78,86,106,89,70,67
2018,67,77,81,74,77,80,77,72,83,81,81,62
2019,66,62,73,82,67,97,75,85,94,87,76,63
2020,67,75,74,76,81,82,72,86,100,93,77,71
2021,76,77,80,78,75,80,69,84,84,85,72,73