contest,votes,race
Yes on Prop. A,68458,Measure
No on Prop. A,32599,Measure
Yes on Prop. B,32623,Measure
No on Prop. B,67492,Measure
Yes on Prop. C,53236,Measure
No on Prop. C,45553,Measure
Yes on Prop. E,59818,Measure
No on Prop. E,40053,Measure
Yes on Prop. F,63295,Measure
No on Prop. F,37139,Measure
Michael Isaku Begert,54340,Judge
Chip Zecher,36970,Judge 
Patrick Thompson,48624,Judge
Jean Myungjin Roland,42489,Judge 
Peter Gallotta,12339,DCCC
Kristin Hardy,10081,DCCC
Emma Heiken,15182,DCCC
Lily Ho,16010,DCCC
John Avalos,13873,DCCC
Cedric Akbar,13185,DCCC
Nancy Tung,17052,DCCC
Frank Tizedes,1237,DCCC
Michael Lai,15081,DCCC
Jeremy Lee,12012,DCCC
Laurance Lem Lee,13131,DCCC
Peter Ho Lik Lee,13113,DCCC
Trevor Chandler,15957,DCCC
Vick Chung,10759,DCCC
Christopher Christensen,2594,DCCC
Carrie Barnes,13946,DCCC
Patrick Bell,9246,DCCC
Gloria Berry,9860,DCCC
Adolfo Velasquez,9735,DCCC
Michael Nguyen,12611,DCCC
Lyn Werbach,13492,DCCC
Joe Sangirardi,14321,DCCC
Sydney Simpson,11073,DCCC
Joshua Rudy Ochoa,9939,DCCC
Luis Zamora,12952,DCCC
Matt Dorsey,19860,DCCC
Sal Rosselli,10022,DCCC
Jane Kim,13365,DCCC
Bilal Mahmood,15631,DCCC
Anita Martinez,11181,DCCC
Parag Gupta,11083,DCCC
Natalie Gee,8037,DCCC
Greg Hardeman,6444,DCCC
Frances Hsieh,7432,DCCC
Michela Alioto-Pier,12999,DCCC
Jade Tu,10456,DCCC
Leah Lacroix,7001,DCCC
Sandra Lee Fewer,7460,DCCC
Connie Chan,9853,DCCC
Mike Chen,10618,DCCC
Queena Chen,5948,DCCC
Dan Calamuci,9740,DCCC
Lanier Coles,9917,DCCC
Sara Barz,9227,DCCC
Jen Nossokoff,1660,DCCC
Catherine Stefani,16499,DCCC
Marjan Philhour,11245,DCCC
Mano Raju,7396,DCCC
Hene Kelly,6513,DCCC
Gordon Mar,8961,DCCC
Brian Quan,9614,DCCC