,precinct,district,neighborhood
0,7042,District 10,empty
1,1107,District 11,empty
2,1145,District 11,empty
3,7043,District 10,empty
4,7046,District 10,empty
5,9731,District 7,empty
6,1102,District 11,empty
7,7004,District 10,empty
8,1146,District 11,empty
9,1149,District 11,empty
10,1115,District 11,empty
11,1148,District 11,empty
12,1121,District 11,empty
13,1106,District 11,empty
14,9134,District 1,empty
15,1105,District 11,empty
16,7518,District 5,empty
17,9729,District 7,empty
18,1114,District 11,empty
19,7049,District 10,empty
20,7053,District 10,empty
21,1147,District 11,empty
22,1122,District 11,empty
23,1144,District 11,empty
24,7045,District 10,empty
25,1104,District 11,empty
26,7048,District 10,empty
27,1111,District 11,empty
28,7041,District 10,empty
29,9728,District 7,empty
30,1118,District 11,empty
31,7039,District 10,empty
32,1143,District 11,empty
33,1101,District 11,empty
34,1119,District 11,empty
35,1123,District 11,empty
36,1113,District 11,empty
37,1142,District 11,empty
38,7044,District 10,empty
39,9727,District 7,empty
40,1139,District 11,empty
41,7054,District 10,empty
42,1141,District 11,empty
43,1103,District 11,empty
44,1109,District 11,empty
45,1112,District 11,empty
46,9726,District 7,empty
47,7055,District 10,empty
48,9441,District 4,empty
49,1124,District 11,empty
50,1116,District 11,empty
51,1117,District 11,empty
52,7051,District 10,empty
53,7052,District 10,empty
54,1125,District 11,empty
55,7047,District 10,empty
56,1138,District 11,empty
57,7948,District 9,empty
58,9725,District 7,empty
59,1135,District 11,empty
60,7056,District 10,empty
61,1137,District 11,empty
62,1108,District 11,empty
63,7949,District 9,empty
64,1136,District 11,empty
65,9724,District 7,empty
66,7947,District 9,empty
67,1126,District 11,empty
68,7946,District 9,empty
69,1133,District 11,empty
70,1134,District 11,empty
71,9442,District 4,empty
72,1127,District 11,empty
73,7038,District 10,empty
74,7718,District 7,empty
75,9732,District 7,empty
76,9723,District 7,empty
77,7034,District 10,empty
78,7717,District 7,empty
79,7037,District 10,empty
80,7032,District 10,empty
81,7944,District 9,empty
82,1132,District 11,empty
83,7036,District 10,empty
84,1128,District 11,empty
85,1131,District 11,empty
86,9449,District 4,empty
87,1129,District 11,empty
88,9735,District 7,empty
89,7945,District 9,empty
90,7942,District 9,empty
91,9902,District 9,empty
92,7033,District 10,empty
93,9901,District 8,empty
94,7712,District 7,empty
95,7035,District 10,empty
96,7029,District 10,empty
97,9135,District 1,empty
98,7031,District 10,empty
99,9451,District 4,empty
100,7028,District 10,empty
101,9734,District 7,empty
102,9431,District 4,empty
103,9452,District 4,empty
104,9721,District 7,empty
105,9733,District 7,empty
106,7024,District 10,empty
107,7941,District 9,empty
108,7854,District 8,empty
109,7719,District 7,empty
110,7943,District 9,empty
111,9432,District 4,empty
112,7939,District 9,empty
113,9808,District 8,empty
114,7852,District 8,empty
115,9722,District 7,empty
116,7713,District 7,empty
117,7022,District 10,empty
118,9719,District 7,empty
119,7025,District 10,empty
120,9718,District 7,empty
121,7708,District 7,empty
122,7027,District 10,empty
123,7021,District 10,empty
124,7715,District 7,empty
125,7936,District 9,empty
126,9439,District 4,empty
127,9446,District 4,empty
128,7714,District 7,empty
129,7023,District 10,empty
130,7026,District 10,empty
131,9438,District 4,empty
132,7847,District 8,empty
133,7937,District 9,empty
134,9414,District 4,empty
135,7938,District 9,empty
136,7853,District 8,empty
137,9444,District 4,empty
138,9445,District 4,empty
139,9447,District 4,empty
140,7935,District 9,empty
141,9448,District 4,empty
142,7709,District 7,empty
143,9437,District 4,empty
144,7851,District 8,empty
145,7934,District 9,empty
146,7933,District 9,empty
147,7848,District 8,empty
148,7842,District 8,empty
149,7928,District 9,empty
150,7716,District 7,empty
151,9139,District 1,empty
152,7932,District 9,empty
153,7849,District 8,empty
154,7018,District 10,empty
155,7706,District 7,empty
156,7707,District 7,empty
157,7846,District 8,empty
158,7206,District 2,empty
159,7705,District 7,empty
160,7844,District 8,empty
161,7711,District 7,empty
162,9435,District 4,empty
163,9436,District 4,empty
164,7929,District 9,empty
165,7926,District 9,empty
166,9433,District 4,empty
167,7931,District 9,empty
168,7019,District 10,empty
169,7017,District 10,empty
170,9141,District 1,empty
171,7925,District 9,empty
172,7841,District 8,empty
173,7843,District 8,empty
174,9434,District 4,empty
175,7838,District 8,empty
176,7839,District 8,empty
177,7845,District 8,empty
178,9717,District 7,empty
179,7704,District 7,empty
180,7829,District 8,empty
181,7922,District 9,empty
182,9443,District 4,empty
183,7927,District 9,empty
184,9429,District 4,empty
185,9428,District 4,empty
186,7832,District 8,empty
187,7835,District 8,empty
188,7924,District 9,empty
189,7837,District 8,empty
190,9426,District 4,empty
191,7919,District 9,empty
192,9427,District 4,empty
193,7703,District 7,empty
194,7828,District 8,empty
195,7923,District 9,empty
196,7833,District 8,empty
197,7013,District 10,empty
198,7016,District 10,empty
199,9424,District 4,empty
200,9425,District 4,empty
201,7702,District 7,empty
202,7918,District 9,empty
203,7921,District 9,empty
204,9423,District 4,empty
205,7834,District 8,empty
206,7836,District 8,empty
207,9715,District 7,empty
208,7827,District 8,empty
209,9419,District 4,empty
210,9417,District 4,empty
211,9716,District 7,empty
212,7916,District 9,empty
213,9422,District 4,empty
214,7831,District 8,empty
215,7015,District 10,empty
216,7826,District 8,empty
217,9416,District 4,empty
218,7913,District 9,empty
219,9418,District 4,empty
220,7012,District 10,empty
221,7824,District 8,empty
222,9421,District 4,empty
223,7917,District 9,empty
224,9707,District 7,empty
225,7818,District 8,empty
226,7014,District 10,empty
227,9713,District 7,empty
228,7825,District 8,empty
229,9714,District 7,empty
230,7914,District 9,empty
231,7823,District 8,empty
232,7915,District 9,empty
233,7819,District 8,empty
234,7701,District 7,empty
235,9415,District 4,empty
236,7007,District 10,empty
237,9711,District 7,empty
238,7008,District 10,empty
239,7909,District 9,empty
240,9712,District 7,empty
241,9408,District 4,empty
242,9409,District 4,empty
243,7912,District 9,empty
244,7011,District 10,empty
245,7809,District 8,empty
246,9411,District 4,empty
247,7821,District 8,empty
248,9412,District 4,empty
249,7822,District 8,empty
250,9413,District 4,empty
251,7907,District 9,empty
252,9709,District 7,empty
253,7808,District 8,empty
254,7003,District 10,empty
255,7811,District 8,empty
256,7908,District 9,empty
257,9705,District 7,empty
258,7005,District 10,empty
259,7911,District 9,empty
260,9706,District 7,empty
261,9403,District 4,empty
262,9708,District 7,empty
263,9401,District 4,empty
264,7901,District 9,empty
265,7006,District 10,empty
266,9402,District 4,empty
267,7816,District 8,empty
268,9802,District 8,empty
269,7817,District 8,empty
270,9405,District 4,empty
271,9805,District 8,empty
272,9406,District 4,empty
273,9407,District 4,empty
274,9701,District 7,empty
275,7812,District 8,empty
276,9508,District 5,empty
277,7001,District 10,empty
278,9703,District 7,empty
279,9704,District 7,empty
280,9801,District 8,empty
281,7903,District 9,empty
282,7802,District 8,empty
283,7002,District 10,empty
284,7904,District 9,empty
285,7804,District 8,empty
286,9804,District 8,empty
287,7906,District 9,empty
288,7905,District 9,empty
289,7009,District 10,empty
290,9806,District 8,empty
291,7813,District 8,empty
292,7815,District 8,empty
293,7801,District 8,empty
294,9803,District 8,empty
295,7803,District 8,empty
296,7806,District 8,empty
297,9504,District 5,empty
298,7902,District 9,empty
299,9807,District 8,empty
300,7807,District 8,empty
301,7805,District 8,empty
302,7613,District 6,empty
303,9702,District 7,empty
304,7605,District 6,empty
305,7622,District 6,empty
306,9404,District 4,empty
307,9501,District 5,empty
308,7814,District 8,empty
309,7521,District 5,empty
310,7602,District 6,empty
311,9133,District 1,empty
312,9503,District 5,empty
313,9509,District 5,empty
314,7517,District 5,empty
315,9506,District 5,empty
316,7519,District 5,empty
317,7621,District 6,empty
318,9147,District 1,empty
319,9505,District 5,empty
320,7618,District 6,empty
321,9502,District 5,empty
322,7612,District 6,empty
323,7619,District 6,empty
324,7522,District 5,empty
325,9136,District 1,empty
326,7523,District 5,empty
327,7607,District 6,empty
328,9137,District 1,empty
329,7601,District 6,empty
330,9507,District 5,empty
331,9138,District 1,empty
332,7604,District 6,empty
333,7611,District 6,empty
334,7629,District 6,empty
335,9142,District 1,empty
336,7513,District 5,empty
337,9143,District 1,empty
338,9144,District 1,empty
339,7628,District 6,empty
340,7516,District 5,empty
341,9237,District 2,empty
342,7606,District 6,empty
343,7515,District 5,empty
344,9108,District 1,empty
345,7603,District 6,empty
346,9129,District 1,empty
347,7617,District 6,empty
348,7609,District 6,empty
349,9121,District 1,empty
350,7514,District 5,empty
351,9122,District 1,empty
352,9123,District 1,empty
353,7508,District 5,empty
354,9124,District 1,empty
355,7615,District 6,empty
356,9145,District 1,empty
357,7616,District 6,empty
358,9125,District 1,empty
359,9126,District 1,empty
360,7608,District 6,empty
361,9127,District 1,empty
362,9128,District 1,empty
363,7512,District 5,empty
364,9146,District 1,empty
365,9131,District 1,empty
366,9132,District 1,empty
367,7509,District 5,empty
368,7634,District 6,empty
369,7624,District 6,empty
370,7626,District 6,empty
371,7627,District 6,empty
372,7614,District 6,empty
373,7532,District 5,empty
374,7504,District 5,empty
375,7511,District 5,empty
376,9236,District 2,empty
377,7531,District 5,empty
378,7205,District 2,empty
379,7635,District 6,empty
380,9106,District 1,empty
381,7529,District 5,empty
382,7623,District 6,empty
383,9101,District 1,empty
384,9233,District 2,empty
385,7505,District 5,empty
386,9109,District 1,empty
387,7534,District 5,empty
388,9112,District 1,empty
389,9234,District 2,empty
390,7506,District 5,empty
391,7632,District 6,empty
392,9114,District 1,empty
393,9119,District 1,empty
394,7528,District 5,empty
395,7507,District 5,empty
396,7526,District 5,empty
397,9104,District 1,empty
398,9511,District 5,empty
399,9116,District 1,empty
400,9235,District 2,empty
401,7208,District 2,empty
402,9118,District 1,empty
403,7625,District 6,empty
404,7527,District 5,empty
405,9512,District 5,empty
406,7207,District 2,empty
407,7533,District 5,empty
408,7524,District 5,empty
409,7633,District 6,empty
410,7338,District 3,empty
411,7525,District 5,empty
412,9903,District 6,empty
413,9105,District 1,empty
414,9111,District 1,empty
415,9229,District 2,empty
416,9113,District 1,empty
417,9231,District 2,empty
418,9107,District 1,empty
419,9513,District 5,empty
420,7639,District 6,empty
421,7204,District 2,empty
422,7641,District 6,empty
423,7501,District 5,empty
424,7328,District 3,empty
425,9115,District 1,empty
426,7333,District 3,empty
427,9225,District 2,empty
428,9238,District 2,empty
429,9117,District 1,empty
430,7503,District 5,empty
431,7644,District 6,empty
432,9232,District 2,empty
433,7638,District 6,empty
434,7334,District 3,empty
435,7203,District 2,empty
436,7331,District 3,empty
437,9239,District 2,empty
438,9228,District 2,empty
439,9227,District 2,empty
440,7322,District 3,empty
441,9102,District 1,empty
442,9243,District 2,empty
443,7642,District 6,empty
444,7502,District 5,empty
445,9103,District 1,empty
446,7202,District 2,empty
447,7327,District 3,empty
448,7631,District 6,empty
449,7335,District 3,empty
450,7332,District 3,empty
451,7336,District 3,empty
452,9226,District 2,empty
453,9241,District 2,empty
454,9242,District 2,empty
455,7329,District 3,empty
456,7319,District 3,empty
457,7201,District 2,empty
458,7637,District 6,empty
459,7643,District 6,empty
460,7326,District 3,empty
461,9223,District 2,empty
462,7636,District 6,empty
463,7324,District 3,empty
464,9224,District 2,empty
465,7321,District 3,empty
466,7337,District 3,empty
467,7323,District 3,empty
468,7325,District 3,empty
469,7314,District 3,empty
470,9221,District 2,empty
471,7315,District 3,empty
472,9216,District 2,empty
473,7316,District 3,empty
474,7317,District 3,empty
475,7318,District 3,empty
476,9217,District 2,empty
477,9305,District 3,empty
478,9218,District 2,empty
479,9222,District 2,empty
480,9219,District 2,empty
481,7309,District 3,empty
482,7311,District 3,empty
483,9306,District 3,empty
484,7312,District 3,empty
485,9302,District 3,empty
486,7306,District 3,empty
487,9211,District 2,empty
488,9212,District 2,empty
489,7307,District 3,empty
490,9209,District 2,empty
491,7304,District 3,empty
492,7313,District 3,empty
493,9303,District 3,empty
494,9214,District 2,empty
495,9213,District 2,empty
496,9215,District 2,empty
497,9304,District 3,empty
498,7305,District 3,empty
499,9208,District 2,empty
500,7302,District 3,empty
501,7308,District 3,empty
502,9301,District 3,empty
503,9204,District 2,empty
504,9205,District 2,empty
505,9203,District 2,empty
506,7303,District 3,empty
507,9207,District 2,empty
508,9206,District 2,empty
509,9201,District 2,empty
510,9202,District 2,empty
511,7301,District 3,empty
512,7645,District 6,empty
513,9904,District 6,empty
514,7042,Visitacion Valley,empty
515,1107,Outer Mission,empty
516,1145,Excelsior,empty
517,7043,Visitacion Valley,empty
518,7046,Visitacion Valley,empty
519,9731,Oceanview/Merced/Ingleside,empty
520,1102,Oceanview/Merced/Ingleside,empty
521,7004,Potrero Hill,empty
522,1146,Excelsior,empty
523,1149,Excelsior,empty
524,1115,Outer Mission,empty
525,1148,Excelsior,empty
526,1121,Outer Mission,empty
527,1106,Oceanview/Merced/Ingleside,empty
528,9134,Outer Richmond,empty
529,1105,Oceanview/Merced/Ingleside,empty
530,7518,Hayes Valley,empty
531,9729,Lakeshore,empty
532,1114,Oceanview/Merced/Ingleside,empty
533,7049,Visitacion Valley,empty
534,7053,Bayview Hunters Point,empty
535,1147,Excelsior,empty
536,1122,Outer Mission,empty
537,1144,Excelsior,empty
538,7045,Visitacion Valley,empty
539,1104,Oceanview/Merced/Ingleside,empty
540,7048,Visitacion Valley,empty
541,1111,Oceanview/Merced/Ingleside,empty
542,7041,McLaren Park,empty
543,9728,Lakeshore,empty
544,1118,Oceanview/Merced/Ingleside,empty
